epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2896.08,1.60939,1.2152,1.5437,0.68669,0.66279,0.71369,0.40043,1.89566,1.34366,1.62034,0.00066175,0.00066175,0.00066175
43,2964.57,1.59966,1.20078,1.53621,0.66577,0.67906,0.72058,0.40698,1.86691,1.29501,1.61861,0.0006535,0.0006535,0.0006535
44,3032.93,1.60367,1.20238,1.53748,0.68141,0.66425,0.706,0.40123,1.87726,1.3541,1.62011,0.00064525,0.00064525,0.00064525
45,3102.8,1.59955,1.2071,1.53809,0.69449,0.66238,0.7182,0.41162,1.85798,1.28328,1.61992,0.000637,0.000637,0.000637
46,3171.47,1.5698,1.15909,1.52033,0.67624,0.66878,0.71462,0.41468,1.82257,1.28526,1.6019,0.00062875,0.00062875,0.00062875
47,3240,1.58105,1.16574,1.5233,0.69631,0.65274,0.71617,0.41532,1.83439,1.2911,1.61545,0.0006205,0.0006205,0.0006205
48,3308.8,1.58291,1.176,1.52134,0.68347,0.67814,0.72519,0.41985,1.8399,1.27407,1.61507,0.00061225,0.00061225,0.00061225
49,3377.48,1.58033,1.16375,1.5205,0.70876,0.65829,0.72402,0.42298,1.80278,1.29655,1.59736,0.000604,0.000604,0.000604
50,3446.14,1.55605,1.14884,1.50374,0.68689,0.67265,0.71685,0.41991,1.81362,1.29469,1.59827,0.00059575,0.00059575,0.00059575
51,3516.67,1.56905,1.14829,1.52053,0.68789,0.66256,0.71823,0.41166,1.85401,1.30184,1.60605,0.0005875,0.0005875,0.0005875
52,3585.47,1.53029,1.11041,1.50336,0.69189,0.66242,0.71793,0.41962,1.83255,1.29281,1.6138,0.00057925,0.00057925,0.00057925
53,3653.59,1.55697,1.12851,1.50976,0.66875,0.68351,0.72264,0.41682,1.85985,1.29768,1.61083,0.000571,0.000571,0.000571
54,3722.05,1.54111,1.11599,1.49694,0.69609,0.6707,0.72555,0.42547,1.80968,1.26472,1.60092,0.00056275,0.00056275,0.00056275
55,3791.54,1.53031,1.09592,1.49741,0.69621,0.66515,0.72174,0.41915,1.82909,1.28681,1.60902,0.0005545,0.0005545,0.0005545
56,3859.93,1.51993,1.08476,1.48913,0.69474,0.65922,0.71227,0.41661,1.82492,1.3141,1.61208,0.00054625,0.00054625,0.00054625
57,3928.3,1.53032,1.08837,1.48683,0.68108,0.67686,0.71133,0.40677,1.84499,1.30719,1.61197,0.000538,0.000538,0.000538
58,3996.92,1.50156,1.07563,1.48197,0.69155,0.66001,0.71224,0.41301,1.83274,1.31198,1.60798,0.00052975,0.00052975,0.00052975
59,4066.16,1.52597,1.09325,1.4937,0.67997,0.6633,0.71353,0.41235,1.83914,1.30287,1.6139,0.0005215,0.0005215,0.0005215
60,4134.83,1.5016,1.07302,1.47561,0.69226,0.65963,0.71323,0.41003,1.84292,1.32108,1.61644,0.00051325,0.00051325,0.00051325
61,4203.5,1.49276,1.05108,1.47401,0.67414,0.66745,0.71047,0.416,1.83029,1.30324,1.622,0.000505,0.000505,0.000505
62,4272.59,1.51367,1.05341,1.47536,0.67688,0.65876,0.70385,0.4076,1.84183,1.31057,1.60862,0.00049675,0.00049675,0.00049675
63,4341,1.47486,1.0408,1.46494,0.69039,0.66977,0.71723,0.41607,1.8211,1.29865,1.6151,0.0004885,0.0004885,0.0004885
64,4409.3,1.48467,1.04557,1.467,0.69588,0.65642,0.70927,0.41141,1.83329,1.31636,1.61673,0.00048025,0.00048025,0.00048025
65,4478.62,1.47018,1.03258,1.46632,0.69311,0.67086,0.71885,0.41695,1.8339,1.30592,1.62273,0.000472,0.000472,0.000472
66,4547.38,1.46977,1.04004,1.46149,0.69684,0.6574,0.71034,0.4106,1.85424,1.32294,1.6171,0.00046375,0.00046375,0.00046375
67,4615.65,1.47829,1.02142,1.46802,0.69534,0.66984,0.71728,0.41841,1.82638,1.29401,1.6193,0.0004555,0.0004555,0.0004555
68,4684.17,1.44127,0.99752,1.45375,0.69681,0.67242,0.72171,0.42243,1.8325,1.28358,1.62429,0.00044725,0.00044725,0.00044725
69,4753.04,1.43252,0.9994,1.44781,0.69641,0.66745,0.71097,0.41632,1.82913,1.30813,1.62587,0.000439,0.000439,0.000439
70,4821.46,1.44256,1.00329,1.44653,0.70284,0.65836,0.70904,0.41262,1.83214,1.28866,1.62439,0.00043075,0.00043075,0.00043075
71,4889.92,1.42926,0.98838,1.43403,0.6886,0.66689,0.71392,0.41646,1.83696,1.31769,1.62373,0.0004225,0.0004225,0.0004225
72,4959.07,1.43006,0.98086,1.43722,0.70648,0.65657,0.71306,0.41484,1.84016,1.30542,1.62022,0.00041425,0.00041425,0.00041425
73,5027.74,1.42301,0.9728,1.43543,0.6807,0.66283,0.70314,0.40848,1.83807,1.34008,1.63043,0.000406,0.000406,0.000406
74,5096.35,1.41985,0.95862,1.42963,0.68717,0.65809,0.70472,0.4071,1.8543,1.33507,1.63832,0.00039775,0.00039775,0.00039775
75,5164.12,1.41887,0.96217,1.42666,0.69903,0.65452,0.70354,0.40939,1.8397,1.31261,1.6328,0.0003895,0.0003895,0.0003895
76,5232.62,1.40883,0.96436,1.43015,0.6895,0.66449,0.70788,0.41233,1.84585,1.31694,1.63005,0.00038125,0.00038125,0.00038125
77,5301.07,1.39818,0.94479,1.41826,0.70072,0.64479,0.70697,0.41264,1.83846,1.3183,1.62654,0.000373,0.000373,0.000373
78,5369.14,1.39498,0.93066,1.41475,0.6921,0.65003,0.69748,0.40387,1.8534,1.33561,1.62938,0.00036475,0.00036475,0.00036475
79,5437.62,1.37681,0.93438,1.4114,0.67881,0.66441,0.69823,0.40484,1.85584,1.36728,1.64389,0.0003565,0.0003565,0.0003565
